,page,job_id,title,role_id,listing_date,teaser,classification,subClassification,workType,location,suburbWhereValue,salary,companyName,company_advertiser,isPrivateAdvertiser
10,1,54272568,Business Analyst,business-analyst,2021-10-08T05:32:22Z,Help shape our service’s and offering in this dynamic role in our Transformation & Strategy team.,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,,,People's Choice,False
11,1,54302385,BI Architect,business-intelligence-architect,2021-10-11T06:36:12Z,Looking for candidates having total experience of 10 years with minimum 2 years of experience as BI Architect,Information & Communication Technology,Architects,Full Time,Adelaide,Adelaide SA 5000,,Wipro,Wipro Limited,False
12,1,54144787,Information Analyst: Data Management,information-analyst,2021-09-30T03:37:10Z,Work in a progressive and innovative organisation. Immediate start. 6 month contract role. CBD location.,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Adelaide,Adelaide SA 5000,,Entree Recruitment,Entree Recruitment,False
13,1,54261214,Metering Analyst,analyst,2021-10-08T00:38:34Z,We now have an exciting opportunity available for a Metering Analyst to join our team in Adelaide on a 12 month fixed term contract.,"Mining, Resources & Energy",Analysis & Reporting,Full Time,Adelaide,Adelaide SA 5000,,APA Group,APA Group,False
14,1,54209053,Reporting Specialist,reporting-specialist,2021-10-05T06:30:57Z,Great team culture working in an innovative environment.,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,"package range $97,195 to $104,753  (inc of super)",ReturnToWorkSA,ReturnToWorkSA,False
15,1,54252542,Systems Analyst,systems-analyst,2021-10-07T07:15:24Z,"Manage application support tasks, system enhancements, upgrades and regular maintenance across a range of complex systems and their interfaces!",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Mile End SA 5031,Attractive salary & generous discounts,RAA,RAA,False
16,1,54070317,Database Developer/Data Analyst,database-developer,2021-09-24T06:52:01Z,"Looking for a flexible, hands-on person that is motivated and willing to do what it takes to deliver the very best outcomes to our partners",Information & Communication Technology,Database Development & Administration,Full Time,Adelaide,Walkerville SA 5081,,,Extential Solutions,False
17,1,54248111,Technical Business Analyst,technical-business-analyst,2021-10-07T04:46:37Z,Be part of a data consultant team that creates the bridge between the technical and business teams to translate requirements.,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,$100k - $140k p.a. + + super,Precision Sourcing,Precision Sourcing,False
18,1,54265809,Business Improvement Analyst,business-improvement-analyst,2021-10-08T02:51:46Z,Contribute to improvements in Member experience and operational efficiency through the identification and implementation of change initiatives,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Mile End SA 5031,Flexible work arrangements,RAA,RAA,False
19,1,54264469,Business Analyst,business-analyst,2021-10-08T02:12:31Z,"Join a large organisation and be involved in projects from start to finish, seeing the real difference your work makes in the community.",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,Attractive base salary + super + salary packaging,Anglicare SA,Anglicare SA,False
20,1,54256875,Business Analyst,business-analyst,2021-10-07T22:24:30Z,Data Action (DA)has over 30 years' experience as a specialist software and services provider to the banking and financial services sectors.,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Adelaide,,,Data Action,Data Action,False
21,1,54296914,Rolling Recruitment - Analyst Careers - ASD 4-6,recruitment,2021-10-11T04:00:48Z,The Australian Signals Directorate is seeking to fill a number of ASD4-6 positions within the agency.,Information & Communication Technology,Other,Full Time,Adelaide,Adelaide SA 5000,"$69,811 - $95,873 (plus 15.4% superannuation)",Australian Department of Defence,Australian Signals Directorate,False
22,2,54289113,Artificial Intelligence (AI) Product Delivery Manager,product-delivery-manager,2021-10-11T00:15:13Z,Proactive manager looking to use data/process specialist skills utilising Machine Learning in a In Vitro Diagnostics device (APAS Independence),Information & Communication Technology,Product Management & Development,Full Time,Adelaide,Adelaide SA 5000,,LBT Innovations,LBT Innovations,False
23,2,53949372,Digital Marketing Specialist,digital-marketing-specialist,2021-09-16T08:59:21Z,Become a key driver in our digital journey across a diverse and growing selection of machines and markets,Marketing & Communications,Digital & Search Marketing,Full Time,Adelaide,North Plympton SA 5037,"$60,000 - $79,999",,Leda Machinery (Aust) Pty Ltd,False
24,2,54141887,Business Intelligence Analyst,business-intelligence-analyst,2021-09-30T02:01:31Z,"This role is dynamic, challenging and highly rewarding – and best of all we get the see real outcomes every day resulting from what we do.",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,,Humm Group,Humm Group Limited,False
25,2,54293469,Sales Analyst,sales-analyst,2021-10-11T02:25:25Z,We are looking for a Sales Analyst to work closely with our professional buying and planning team on a wide variety of tasks.,Sales,Analysis & Reporting,Full Time,Adelaide,Adelaide SA 5000,United Chemists - Support Office Adelaide,Scaffidi Group,Scaffidi Group,False
26,2,54291708,Business Analyst: Continuous Improvement,business-analyst,2021-10-11T01:30:33Z,"Joining the people team at UniSA, you will be able to make a direct and significant impact to our University’s most important asset, our people.",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,"Commencement Salary: $90,234 pa (plus 17% super)",University of South Australia,University of South Australia,False
27,2,54008291,Data Analyst,data-analyst,2021-09-21T03:40:32Z,Excellent opportunity to move your career to a highly regarded research organisation. Leverage your passion and apply your skills to make an impact.,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time,Adelaide,Adelaide SA 5000,,,NCVER,False
28,2,53923652,Junior Data Analyst,data-analyst,2021-09-15T02:47:16Z,You will be responsible for delivering analytical solutions and insights though data science techniques to support the strategic needs of Datacom.,Information & Communication Technology,Database Development & Administration,Full Time,Adelaide,,,Datacom,Datacom,False
29,2,54209054,Reporting Specialist,reporting-specialist,2021-10-05T06:30:57Z,Great team culture working in an innovative environment.,Government & Defence,Government - State,Full Time,Adelaide,Adelaide SA 5000,"package range $97,195 to $104,753  (inc of super)",ReturnToWorkSA,ReturnToWorkSA,False
30,2,54305339,Business Analyst,business-analyst,2021-10-11T12:11:43Z,"Passionate about wine & numbers? Convert our bulk wine inventory into dollars, in this Global Supply Chain Finance opportunity",Banking & Financial Services,Account & Relationship Management,Full Time,Adelaide,Adelaide SA 5000,,Accolade Wines,Accolade Wines Australia,False
31,2,54292764,"Consultant: People, Data and Systems",consultant,2021-10-11T02:01:22Z,Information & Communication Technology < Business/Systems Analysts OR Network and Systems Administration,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,"Commencement Salary: $82,077 pa (plus 17% super)",University of South Australia,University of South Australia,False
32,2,54196280,Business Analyst,business-analyst,2021-10-04T23:58:49Z,Provide advice and solutions contributing your skills and experience working on a variety of interesting client engagements.,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,ASG Group,ASG Group Ltd,False
33,2,54280302,Support Analyst,support-analyst,2021-10-09T05:44:44Z,"Drive the life cycle of client service requests in a people-centric culture with a focus on innovation, collaboration and flexibility for our people.",Banking & Financial Services,Client Services,Full Time,Adelaide,Adelaide SA 5000,,Bravura Solutions,Bravura Solutions Operations Pty Limited,False
34,2,54296818,Rolling Recruitment - Analyst Careers - ASD 4-6,recruitment,2021-10-11T03:58:37Z,The Australian Signals Directorate is seeking to fill a number of ASD4-6 positions within the agency.,Consulting & Strategy,Other,Full Time,Adelaide,Adelaide SA 5000,"$69,811 - $95,873 (plus 15.4% superannuation)",Australian Department of Defence,Australian Signals Directorate,False
35,2,54208635,Business Analyst,business-analyst,2021-10-05T06:16:27Z,Exciting new opportunity for a Business Analyst to join an iconic SA organisation in this key role supporting our Sales Team. Located Salisbury South.,Sales,Analysis & Reporting,Full Time,Adelaide,Salisbury SA 5108,,Bickford's Australia,Bickford's Australia,False
36,2,54212078,Business Analyst,business-analyst,2021-10-05T11:08:54Z,"An excellent opportunity for an outcome-focused, professional BA to join our team!",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,On The Run,On The Run Pty Ltd,False
37,2,54215792,Application Support Analyst,applications-support-analyst,2021-10-05T23:08:02Z,Responsible for the application support (Level 3) for a designated portfolio of business applications,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,,Department of Treasury & Finance SA,Department of Treasury and Finance,False
38,2,54209863,Supply Chain Analyst,supply-chain-analyst,2021-10-05T07:01:19Z,9 months fixed term contract. Outstanding new role at this Global FMCG leader!,"Manufacturing, Transport & Logistics",Analysis & Reporting,Contract/Temp,Adelaide,,,Jackson People Solutions,Jackson People Solutions,False
39,2,54258276,ASO5 Analyst Programmer,analyst-programmer,2021-10-07T23:15:17Z,"The role is responsible for maintenance of ICT bespoke applications supporting the integration & delivery of modern, world-class technical solutions.",Information & Communication Technology,Developers/Programmers,Contract/Temp,Adelaide,Adelaide SA 5000,,Department for Education SA,Department for Education,False
40,2,54291709,Business Analyst: Continuous Improvement,business-analyst,2021-10-11T01:30:33Z,"Joining the people team at UniSA, you will be able to make a direct and significant impact to our University’s most important asset, our people.",Education & Training,Other,Full Time,Adelaide,Adelaide SA 5000,"Commencement Salary: $90,234 pa (plus 17% super)",University of South Australia,University of South Australia,False
41,2,54241659,ICT Systems Analyst,information-technology-systems-analyst,2021-10-07T01:32:40Z,"RSB is seeking an ICT Systems Analyst  focusing predominantly on Avantcare CRM, Microsoft Dynamics 365 and other system and data management systems.",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,Royal Society for the Blind of SA,Royal Society for the Blind of SA Inc,False
42,2,54259448,ERP Technical Analyst,technical-analyst,2021-10-07T23:48:22Z,Manage and operate the technical application platform that supports the core ERP solution and the related interfaces for shipbuilding,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Osborne SA 5017,,BAE Systems,BAE Systems,False
43,2,54189677,Business Systems Analyst,business-systems-analyst,2021-10-04T06:30:10Z,Join Ventia and help drive the performance of the new contract!,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,Ventia,Ventia,False
44,3,54266460,Business Analyst / Project Coordinator,project-coordinator,2021-10-08T03:06:30Z,"Use your creativity and analysis skills to define new product features; shape existing user experiences in a dynamic, collaborative team environment.",Information & Communication Technology,Product Management & Development,Contract/Temp,Adelaide,,Attractive salary and great location,Ascender,Ascender,False
45,3,53949372,Digital Marketing Specialist,digital-marketing-specialist,2021-09-16T08:59:21Z,Become a key driver in our digital journey across a diverse and growing selection of machines and markets,Marketing & Communications,Digital & Search Marketing,Full Time,Adelaide,North Plympton SA 5037,"$60,000 - $79,999",,Leda Machinery (Aust) Pty Ltd,False
46,3,54159390,Data Integration Analyst / Lead,Data-Integration-Analyst,2021-10-01T00:47:03Z,"Design, planning, implementation & maintenance of end to end integration solutions to support data management, data analysis & reporting processes.",Information & Communication Technology,Database Development & Administration,Full Time,Adelaide,Adelaide SA 5000,,Department for Education SA,Department for Education,False
47,3,54109994,Business Analyst: 2-5 Years Experience,business-analyst,2021-09-28T06:06:34Z,Excellent opportunity for a junior Business Analyst with a passion for software.,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,,Peoplebank,Peoplebank Australia SA,False
48,3,54258277,ASO5 Analyst Programmer,analyst-programmer,2021-10-07T23:15:17Z,"The role is responsible for maintenance of ICT bespoke applications supporting the integration & delivery of modern, world-class technical solutions.",Government & Defence,Government - State,Contract/Temp,Adelaide,Adelaide SA 5000,,Department for Education SA,Department for Education,False
49,3,54159391,Data Integration Analyst / Lead,Data-Integration-Analyst,2021-10-01T00:47:03Z,"Design, planning, implementation & maintenance of end to end integration solutions to support data management, data analysis & reporting processes.",Government & Defence,Government - State,Full Time,Adelaide,Adelaide SA 5000,,Department for Education SA,Department for Education,False
50,3,54243655,Technical Business Analyst - Are you ready to make a difference?,technical-business-analyst,2021-10-07T02:39:55Z,Technical Business Analyst - Are you ready to make a difference?,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,,,DataSpark Analytics,False
51,3,54215793,Application Support Analyst,applications-support-analyst,2021-10-05T23:08:02Z,Responsible for the application support (Level 3) for a designated portfolio of business applications,Government & Defence,Government - State,Full Time,Adelaide,Adelaide SA 5000,,Department of Treasury & Finance SA,Department of Treasury and Finance,False
52,3,54099149,Energy Analyst,energy-analyst,2021-09-28T00:14:09Z,A fantastic role to combine your multivariate analysis skills and consulting ability to grow your career in the energy and tech industry,Consulting & Strategy,Analysts,Full Time,Adelaide,,,EGM Partners,EGM Partners,False
53,3,54245890,Software Engineer (Data Engineer) Adelaide & Canberra,software-engineer,2021-10-07T03:43:14Z,Seeking an experienced Data Engineer based in Adelaide or Canberra,Information & Communication Technology,Engineering - Software,Full Time,Adelaide,,,Capgemini,Capgemini Australia Pty Ltd,False
54,3,54008191,Business Analyst - Data,business-analyst,2021-09-21T03:36:59Z,Fantastic opportunity to develop a comprehensive understanding of business process and information needs to support the Member transformation,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Adelaide,Mile End SA 5031,WFH opportunities,RAA,RAA,False
55,3,54098788,Business Intelligence Specialist,business-intelligence-specialist,2021-09-28T00:00:40Z,"Manage, and deploy data systems, reports, and dynamic dashboards, as well as train users in these systems and the use of reports.",Consulting & Strategy,Analysts,Full Time,Adelaide,,Com,GFG Alliance,GFG Alliance,False
56,3,54292765,"Consultant: People, Data and Systems",consultant,2021-10-11T02:01:22Z,Information & Communication Technology < Business/Systems Analysts OR Network and Systems Administration,Education & Training,Other,Full Time,Adelaide,Adelaide SA 5000,"Commencement Salary: $82,077 pa (plus 17% super)",University of South Australia,University of South Australia,False
57,3,54110619,Senior Data Scientist,data-scientist,2021-09-28T06:29:26Z,"Lynxx is an advanced analytics, operations research and visualisation consultancy, looking for an experienced Data Scientist to join the team.",Consulting & Strategy,Other,Full Time,Adelaide,Adelaide SA 5000,,,Lynxx,False
58,3,54237605,Project Officer / Business Analyst,business-analyst,2021-10-06T23:28:08Z,Remote work as Project Officer / Business Analyst,Government & Defence,Government - Federal,Contract/Temp,Adelaide,Adelaide SA 5000,$58 - $68 p.h. + superannuation,Randstad,Randstad Professionals,False
59,3,54171607,Principal Data Scientist (2 positions available),data-scientist,2021-10-01T06:30:30Z,This is an exciting opportunity for 2 Principal Data Scientists to join a Global Tech Company to help build their Australian Centre of Excellence!,Information & Communication Technology,Other,Full Time,Adelaide,Adelaide SA 5000,$180000,Hudson,Hudson - Technology and Digital,False
60,3,54295462,Senior Business Analyst,business-analyst,2021-10-11T03:18:12Z,Take ownership of early feasibility initiative analysis and portfolio prioritisation.,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,"$115,000 to $130,000 + 10% Superannuation",Paxus,Paxus,False
61,3,54131807,Application Analyst,applications-analyst,2021-09-29T07:00:03Z,As Application Analyst you will be responsible for technical and functional software product support for critical systems BAE.,Information & Communication Technology,Developers/Programmers,Full Time,Adelaide,Adelaide SA 5000,,BAE Systems,BAE Systems,False
62,3,54305298,Finance Systems Analyst,finance-systems-analyst,2021-10-11T12:00:10Z,Bring your finance and orginasation skills to this role that is all things systems and improvements!,Accounting,Systems Accounting & IT Audit,Contract/Temp,Adelaide,,,Woolworths Group,Woolworths Group,False
63,3,54111077,Experienced Data Engineer,data-engineer,2021-09-28T06:41:25Z,"Lynxx is an advanced analytics, operations research and high-tech systems consultancy looking for a experienced Data Engineer to join the team",Information & Communication Technology,Other,Full Time,Adelaide,Adelaide SA 5000,,,Lynxx,False
64,3,54119024,Technical Analyst - System Development & Integration,technical-analyst,2021-09-29T00:11:43Z,"Based in Para Hills West. Develop systems, efficient reporting and provide high value data quality services, support and reports.",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Para Hills West SA 5096,,Liebherr,Liebherr Australia Pty Ltd,False
65,3,54169416,Staff Data Scientist (leadership position),data-scientist,2021-10-01T05:31:49Z,Join a Global Tech Company and help build their Centre of Excellence in Australia!,Information & Communication Technology,Other,Full Time,Adelaide,Adelaide SA 5000,$160000,Hudson,Hudson - Technology and Digital,False
66,4,53957175,Corporate Analyst and Senior Corporate Analyst,corporate-analyst,2021-09-17T00:42:40Z,Imagine yourself advising a diverse range of clients on some of their most important decisions and help them achieve their goals for the future?,Accounting,Analysis & Reporting,Full Time,Adelaide,Adelaide SA 5000,,,SRG Partners,False
67,4,54187663,Product Owner,product-owner,2021-10-04T04:16:22Z,"Join as a Product Owner at Tic:Toc. Work as a team to build Fintech products and solve problems for our customers, partners and stakeholders",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,Attractive Rumuneration + Employee Share Plans,TicToc Online,TicToc Online Pty Ltd,False
68,4,54101421,Data Engineer,data-engineer,2021-09-28T01:29:14Z,A rare 12 month contract is available for an experienced Data Engineer!,Information & Communication Technology,Database Development & Administration,Contract/Temp,Adelaide,Adelaide SA 5000,Excellent Rates,Paxus,Paxus,False
69,4,54101932,Senior Business Intelligence Analyst,business-intelligence-analyst,2021-09-28T01:42:37Z,"Do you have experience in Power BI and DAX and are interested in joining a team of data professionals, striving to build industry leading solutions?",Information & Communication Technology,Developers/Programmers,Full Time,Adelaide,Adelaide SA 5000,,Journey Beyond,Journey Beyond,False
70,4,54111544,Business Analyst,business-analyst,2021-09-28T06:58:01Z,Play a vital role in delivering thorough business and technical analysis to enhance end-user experience,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,Competitive Salary Package,Robert Walters,Robert Walters,False
71,4,54247585,Senior Business Analyst,business-analyst,2021-10-07T04:32:21Z,"Don't just make a living, build a career you love!",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,Escient,Escient,False
72,4,54266460,Business Analyst / Project Coordinator,project-coordinator,2021-10-08T03:06:30Z,"Use your creativity and analysis skills to define new product features; shape existing user experiences in a dynamic, collaborative team environment.",Information & Communication Technology,Product Management & Development,Contract/Temp,Adelaide,,Attractive salary and great location,Ascender,Ascender,False
73,4,54040087,Graduate Technical Business Analyst,technical-business-analyst,2021-09-23T00:00:40Z,We are open to this role being based anywhere within Australia and remote work from home options are available.,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,,,Resolve Software Group Pty Ltd,False
74,4,54092722,Business Analyst,business-analyst,2021-09-27T07:05:03Z,Exciting opportunity for a Business Analyst to join the South Australian Tertiary Admissions Centre (SATAC).,Consulting & Strategy,Analysts,Full Time,Adelaide,,"$89,399 to $99,987 pa, plus 17% superannuation",The University of Adelaide,The University of Adelaide,False
75,4,53983572,Reporting Analyst,reporting-analyst,2021-09-20T01:00:14Z,"Elicit reporting requirements, designing, and implementing reports, and drive continuous improvement of the OSC reporting suite",Call Centre & Customer Service,Other,Full Time,Adelaide,,,Serco,Serco Asia Pacific,False
76,4,54161751,WHS Systems Analyst,systems-analyst,2021-10-01T02:00:24Z,Take on this rewarding and challenging role as and bring your expert systems knowledge to the team,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,Competitive Salary with up to 14% Super,GFG Alliance,GFG Alliance,False
77,4,54095328,Technical Analyst,technical-analyst,2021-09-27T19:31:05Z,"Accountable to the Manager, Technical Administration for the provision of technical support and administration.",Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,SA Health,S.A. Health,False
78,4,54171040,Systems Analyst,systems-analyst,2021-10-01T06:16:20Z,The System Analyst is responsible for the design and configuration of new functional solutions.,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Adelaide,Adelaide SA 5000,,Ignite Recruitment,Ignite,False
79,4,54092723,Business Analyst,business-analyst,2021-09-27T07:05:03Z,Exciting opportunity for a Business Analyst to join the South Australian Tertiary Admissions Centre (SATAC).,Education & Training,Other,Full Time,Adelaide,,"$89,399 to $99,987 pa, plus 17% superannuation",The University of Adelaide,The University of Adelaide,False
80,4,54110904,Technology Knowledge Analyst,knowledge-analyst,2021-09-28T06:36:11Z,An exciting opportunity has arisen for a Technology Knowledge Analyst to join the Digital and Technology Team at People’s Choice!,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,Adelaide SA 5000,,,People's Choice,False
81,4,54165219,Senior Consultant - Data Intelligence,consultant,2021-10-01T03:37:27Z,Experienced Senior Consultant – Data Intelligence required to join Australia’s largest privately owned IT consulting company,Information & Communication Technology,Consultants,Full Time,Adelaide,Adelaide SA 5000,,DialogIT,DialogIT,False
82,4,54072792,Data Engineer,data-engineer,2021-09-24T09:49:07Z,Our client URGENTLY requires a Data Engineer for a 12 Months+ Contract in Darwin.,Information & Communication Technology,Engineering - Software,Contract/Temp,Adelaide,,Top $'s paid! Contract extensions likely!,Quality People,Quality People,False
83,4,53963688,Statistical Analyst,statistical-analyst,2021-09-17T03:44:28Z,Great opportunity for an experienced professional with strong skills in statistical analysis and modelling to join a values based employer,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time,Adelaide,,,Autism SA,Autism SA,False
84,4,54169028,System Analyst,systems-analyst,2021-10-01T05:21:11Z,We are looking to engage a skilled and enthusiastic Systems Analyst to join our Federal Government client!,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Adelaide,,,Aurec Group,Aurec,False
85,4,54234764,BI Consultant - Crystal Reports,business-intelligence-consultant,2021-10-06T21:30:26Z,"Scope requirements, provide cost estimates and timeframes & develop and test new reports or changes for diverse internal and external clients. Dulwich",Information & Communication Technology,Consultants,Full Time,Adelaide,Dulwich SA 5065,Flexible work options & great location,Ascender,Ascender,False
86,4,54295297,Senior Business Analyst,business-analyst,2021-10-11T03:13:35Z,Analyse and shape new software application products.,Information & Communication Technology,Engineering - Software,Full Time,Adelaide,Adelaide SA 5000,"$115,000 to $130,000 + 10% Superannuation",Paxus,Paxus,False
87,4,54112756,Financial Analyst,financial-analyst,2021-09-28T07:50:22Z,Gain a broad exposure to a global reaching organisation to utilise your passion for finance,Accounting,Analysis & Reporting,Contract/Temp,Adelaide,,Attractive remuneration and benefits,Robert Walters,Robert Walters,False
88,5,54093926,Digital Marketing Specialist,digital-marketing-specialist,2021-09-27T08:28:44Z,Exciting opportunity for an experienced Digital Marketing Performance Executive,Marketing & Communications,Digital & Search Marketing,Full Time,Adelaide,Adelaide SA 5000,,Uniti Wireless,Uniti Wireless Limited,False
89,5,54049024,Product Manager,product-manager,2021-09-23T04:52:35Z,"Drive Sweat's product vision, working with our teams to develop & execute product strategies that ensure Sweat’s long term success",Information & Communication Technology,Product Management & Development,Full Time,Adelaide,Parkside SA 5063,Competitive salary with great culture and benefits,Sweat Pty Ltd,Sweat Pty Ltd,False
90,5,54260657,Senior Business Analyst,business-analyst,2021-10-08T00:23:07Z,This position requires you to have an understanding and experience meeting key deliverables for a large project and be able to meet strict deadlines,Banking & Financial Services,Analysis & Reporting,Full Time,Adelaide,Adelaide SA 5000,,Westpac Group,Westpac Group,False
91,5,54091178,Business Systems Analyst,business-systems-analyst,2021-09-27T06:06:44Z,Business System Analyst for an initial 6 months to work on an exciting project in the integration space.,Information & Communication Technology,Testing & Quality Assurance,Contract/Temp,Adelaide,Adelaide SA 5000,Attractive hourly pay + Super,Paxus,Paxus,False
92,5,54237718,ANALYST PROGRAMMER (PL/SQL),analyst-programmer,2021-10-06T23:31:37Z,Responsible for delivering a range of specialist analysis and programming services across multiple programming languages.,Information & Communication Technology,Developers/Programmers,Full Time,Adelaide,Regency Park SA 5010,"$92,784 to $98,143",TAFE SA,TAFE SA,False
93,5,54047300,Data Migration Specialist - 3 month contract,data-migration-specialist,2021-09-23T04:02:22Z,This role will ensure successful data migration & integration activities relating to the implementation of Odoo ERP,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Adelaide,Adelaide SA 5000,,,The Oodie,False
94,5,54207048,Configuration Management Analyst,management-analyst,2021-10-05T05:26:51Z,"Raytheon Australia is seeking an experienced Configuration Management Analyst to join our team based in either Mawson Lakes, SA or Macquarie Park, NSW",Engineering,Systems Engineering,Full Time,Adelaide,Mawson Lakes SA 5095,,Raytheon Australia,Raytheon Australia,False
95,5,54033191,*** Business Analyst ***,business-analyst,2021-09-22T06:57:38Z,Want to work for a Social Services Organisation and give something back to the community?,Information & Communication Technology,Business/Systems Analysts,Full Time,Adelaide,,,Powerstaff Consulting,Powerstaff Consulting,False
96,5,54041852,"Data Engineer - ETL, SSIS, T-SQL, WebAPI - based in Darwin",data-engineer,2021-09-23T01:01:39Z,Data Engineer to work on data pipeline and other data related activities within large program and contribute to design and architecture deliverables.,Information & Communication Technology,Engineering - Software,Contract/Temp,Adelaide,,Excellent Rate,Harvey Nash,Harvey Nash,False
97,5,53972873,Business Intelligence Analyst,business-intelligence-analyst,2021-09-17T08:04:16Z,"Do you have a passion for Business Intelligence and want to make an impact within an entrepreneurial family owned, South Australian business?",Information & Communication Technology,Business/Systems Analysts,Contract/Temp,Adelaide,Marleston SA 5033,,Haircare Australia,Haircare Australia,False
